 Current, 1987
 NZFibre, 1985
 JDImports, 1981
 StrandHam, 1977
 ECSL, 1977
 Busops, 1976
 taglass, 1973
 Lansdowne, 1968
 Christchur, 1963
 vortex, 1957
 AP ADMIN, 1953
 Platform Hair, 1950
 Zionpayroll, 1948
 OB, 1947
 apextrees, 1932
 MBLTD, 1922
 Ox, 1916
 bizsell, 1905
 INL, 1903
 HomeFibreS, 1900
 Made, 1899
 Kwok, 1890
 Seasons, 1889
 Lake Terrace, 1888
 SLHT, 1887
 sledge, 1886
 MNewbrook, 1881
 BBDL, 1870
 NZCarTech, 1868
 RZG, 1868
 SIMTR, 1864
 Anwyl, 1864
 AZG, 1857
 NPL1, 1847
 TFR, 1846
 CE Auto, 1834
 HopFederat, 1827
 LOCHY, 1824
 BWPak, 1820
 SCDCH2, 1820
 ZX, 1818
 MachineLtd, 1805
 ABTSO, 1801
 GARDEN, 1800
 JW, 1786
 Sawyer, 1784
 SRK, 1769
 NICE, 1767
 CJNAW, 1765
 Annex2016, 1744
 Mark, 1742
 BOTMTauranga, 1739
 Whk.Info, 1727
 Habitual, 1727
 Holistec, 1715
 LSL, 1714
 HRS, 1706
 Pipi, 1703
 Cpayroll, 1701
 AJP TRUST, 1700
 VirginiaEden, 1692
 DAP, 1689
 Aqualine, 1689
 MTI, 1676
 APN, 1673
 Whensch, 1670
 TexasChick, 1661
 Porterspay, 1659
 ROUTE16, 1658
 Datarati, 1652
 ensaladanz, 1648
 Triplec, 1648
 TPSTaupo, 1646
 DOUFIT, 1636
 Merivale, 1636
 OakTreeFarm, 1630
 aramoana, 1629
 Aerospread, 1627
 idboutique, 1621
