Audit_Action,time_segment_key,myemployee_key,Duration,start_day,start_time
Change,492498,8892,4.50000,1.2246469E-16,0.7933533
Change,338563,7521,7.00000,1.0,1.0
Change,337729,7521,8.00000,0.0,0.9914449
Change,336997,7521,8.50000,0.8660254,0.9914449
Change,335902,7521,8.00000,0.8660254,0.98078525
Change,334951,7521,7.50000,1.2246469E-16,0.9914449
Change,492540,8894,5.50000,0.5,0.7933533
Change,492539,8894,6.00000,1.0,0.7933533
Change,492537,8894,5.50000,0.0,0.7933533
Change,492536,8894,5.00000,0.8660254,0.7933533
Change,492535,8894,9.00000,0.8660254,0.9914449
Change,492534,8894,7.00000,0.8660254,0.7933533
Change,471078,6780,4.50000,0.5,0.7933533
Change,471077,6780,4.50000,1.0,0.7933533
Change,471076,6780,4.50000,0.0,0.7933533
Change,471075,6780,5.00000,0.8660254,0.7933533
Change,471074,6780,5.00000,0.8660254,0.7933533
Change,471907,6780,4.50000,0.8660254,0.7933533
Change,348984,6781,5.50000,0.5,0.8660254
Change,348562,6781,6.00000,1.0,0.7518398
Change,347650,6781,5.00000,0.0,0.6593458
Change,346900,6781,5.00000,0.8660254,0.7933533
Change,492497,6781,5.00000,0.8660254,0.7933533
Change,345145,6781,4.50000,1.2246469E-16,0.7933533
Change,344690,6781,4.50000,0.8660254,0.7933533
Change,471101,6637,8.00000,1.0,0.9238795
Change,471100,6637,8.00000,0.0,0.9238795
Change,471099,6637,8.00000,0.8660254,0.9238795
Change,471098,6637,8.00000,0.8660254,0.9238795
Change,471097,6637,8.00000,1.2246469E-16,0.9238795
